Order_ID,Order_Datetime,Branch,Customer_ID,Item_Name,Order_Type,Quantity,Unit_Price,Total_Amount
ORD05565,2025-11-01 07:19:00,Chi nhánh Gò Vấp,1286,Bạc xỉu,Dùng tại quán,4,25000,100000
ORD00128,2025-11-01 07:49:00,Chi nhánh Gò Vấp,2692,Trà sữa trân châu,GrabFood,3,40000,120000
ORD03259,2025-11-01 07:59:00,Chi nhánh Tân Bình,1642,Bạc xỉu,Mang đi,3,25000,75000
ORD00519,2025-11-01 08:01:00,Chi nhánh Quận 7,2146,Bánh mì chả lụa,Dùng tại quán,4,20000,80000
ORD03736,2025-11-01 08:03:00,Chi nhánh Gò Vấp,1841,Trà sữa trân châu,Mang đi,3,40000,120000
ORD01385,2025-11-01 08:21:00,Chi nhánh Quận 1,1269,Cà phê sữa đá,GrabFood,3,25000,75000
ORD00512,2025-11-01 08:49:00,Chi nhánh Tân Bình,2998,Trà đào cam sả,GrabFood,3,35000,105000
ORD07230,2025-11-01 08:54:00,Chi nhánh Quận 7,2613,Bạc xỉu,ShopeeFood,1,25000,25000
ORD06231,2025-11-01 09:03:00,Chi nhánh Quận 1,2964,Cà phê sữa đá,Mang đi,1,25000,25000
ORD06428,2025-11-01 09:05:00,Chi nhánh Quận 1,2983,Nước ép dưa hấu,Mang đi,2,45000,90000
ORD08880,2025-11-01 09:12:00,Chi nhánh Quận 7,1759,Nước ép dưa hấu,ShopeeFood,1,45000,45000
ORD06329,2025-11-01 09:27:00,Chi nhánh Gò Vấp,2629,Bạc xỉu,ShopeeFood,1,25000,25000
ORD09923,2025-11-01 09:35:00,Chi nhánh Quận 1,2087,Bạc xỉu,Dùng tại quán,4,25000,100000
ORD09526,2025-11-01 09:36:00,Chi nhánh Gò Vấp,2547,Cà phê sữa đá,Mang đi,4,25000,100000
ORD02700,2025-11-01 09:40:00,Chi nhánh Quận 1,2536,Trà đào cam sả,Dùng tại quán,1,35000,35000
ORD09367,2025-11-01 09:42:00,Chi nhánh Quận 1,2655,Nước ép dưa hấu,GrabFood,2,45000,90000
ORD09122,2025-11-01 09:52:00,Chi nhánh Quận 1,1601,Nước ép dưa hấu,ShopeeFood,1,45000,45000
ORD07861,2025-11-01 10:25:00,Chi nhánh Tân Bình,1412,Trà đào cam sả,GrabFood,2,35000,70000
ORD06228,2025-11-01 10:33:00,Chi nhánh Quận 1,1384,Nước ép dưa hấu,Mang đi,3,45000,135000
ORD02211,2025-11-01 10:41:00,Chi nhánh Quận 1,1888,Nước ép dưa hấu,Dùng tại quán,2,45000,90000
ORD01603,2025-11-01 10:57:00,Chi nhánh Gò Vấp,1832,Bạc xỉu,Dùng tại quán,3,25000,75000
ORD00820,2025-11-01 11:00:00,Chi nhánh Quận 7,2297,Trà đào cam sả,ShopeeFood,4,35000,140000
ORD02996,2025-11-01 11:08:00,Chi nhánh Quận 1,1318,Trà sữa trân châu,Dùng tại quán,3,40000,120000
ORD04814,2025-11-01 11:56:00,Chi nhánh Quận 1,1537,Cà phê sữa đá,GrabFood,3,25000,75000
ORD08384,2025-11-01 12:09:00,Chi nhánh Quận 1,2905,Trà sữa trân châu,ShopeeFood,2,40000,80000
